👌	OK hand	People & Body	hand-fingers-partial	hand	0
🤌	pinched fingers	People & Body	hand-fingers-partial	fingers|pinched	0
🤏	pinching hand	People & Body	hand-fingers-partial	hand|pinching	0
✌️	victory hand	People & Body	hand-fingers-partial	hand|victory	0
🤞	crossed fingers	People & Body	hand-fingers-partial	crossed|fingers	0
🫰	hand with index finger and thumb crossed	People & Body	hand-fingers-partial	and|crossed|finger|hand|index|thumb|with	0
🤟	love-you gesture	People & Body	hand-fingers-partial	gesture|love|you	0
🤘	sign of the horns	People & Body	hand-fingers-partial	horns|metal|sign|the	0
🤙	call me hand	People & Body	hand-fingers-partial	call|hand	0
👈	backhand index pointing left	People & Body	hand-single-finger	backhand|index|left|point|pointing	0
👉	backhand index pointing right	People & Body	hand-single-finger	backhand|index|point|pointing|right	0
👆	backhand index pointing up	People & Body	hand-single-finger	backhand|index|point|pointing	0
🖕	middle finger	People & Body	hand-single-finger	finger|middle	0
👇	backhand index pointing down	People & Body	hand-single-finger	backhand|down|index|point|pointing	0
☝️	index pointing up	People & Body	hand-single-finger	index|point|pointing	0
🫵	index pointing at the viewer	People & Body	hand-single-finger	index|pointing|the|viewer	0
👍	thumbs up	People & Body	hand-fingers-closed	approve|like|ok|thumbs|thumbsup|yes	0
👎	thumbs down	People & Body	hand-fingers-closed	dislike|down|no|thumbs|thumbsdown	0
✊	raised fist	People & Body	hand-fingers-closed	fist|raised	0
👊	oncoming fist	People & Body	hand-fingers-closed	facepunch|fist|oncoming|punch	0
🤛	left-facing fist	People & Body	hand-fingers-closed	facing|fist|left	0
🤜	right-facing fist	People & Body	hand-fingers-closed	facing|fist|right	0
👏	clapping hands	People & Body	hands	clap|clapping|hands	0
🙌	raising hands	People & Body	hands	hands|raised|raising	0
🫶	heart hands	People & Body	hands	hands|heart	0
👐	open hands	People & Body	hands	hands|open	0
🤲	palms up together	People & Body	hands	palms|together	0
🤝	handshake	People & Body	hands	handshake	0
🙏	folded hands	People & Body	hands	folded|hands|pray	0
✍️	writing hand	People & Body	hand-prop	hand|writing	0
💅	nail polish	People & Body	hand-prop	care|nail|polish	0
🤳	selfie	People & Body	hand-prop	selfie	0
💪	flexed biceps	People & Body	body-parts	biceps|flexed|muscle	0
🦾	mechanical arm	People & Body	body-parts	arm|mechanical	0
🦿	mechanical leg	People & Body	body-parts	leg|mechanical	0
🦵	leg	People & Body	body-parts	leg	0
🦶	foot	People & Body	body-parts	foot	0
👂	ear	People & Body	body-parts	ear	0
🦻	ear with hearing aid	People & Body	body-parts	aid|ear|hearing|with	0
👃	nose	People & Body	body-parts	nose	0
🧠	brain	People & Body	body-parts	brain	0
🫀	anatomical heart	People & Body	body-parts	anatomical|heart	0
🫁	lungs	People & Body	body-parts	lungs	0
🦷	tooth	People & Body	body-parts	tooth	0
🦴	bone	People & Body	body-parts	bone	0
👀	eyes	People & Body	body-parts	eyes	0
👁️	eye	People & Body	body-parts	eye	0
👅	tongue	People & Body	body-parts	tongue	0
👄	mouth	People & Body	body-parts	lips|mouth	0
🫦	biting lip	People & Body	body-parts	biting|lip	0
👶	baby	People & Body	person	baby	0
🧒	child	People & Body	person	child	0
👦	boy	People & Body	person	boy	0
👧	girl	People & Body	person	girl	0
